"player_name","player_height","player_weight","gp_career","gp_by_season","pts_career_avg","reb_career_avg","ast_career_avg","net_rating_career","oreb_pct_career","dreb_pct_career","usg_pct_career","ts_pct_career","ast_pct_career","num_seasons","hall_of_fame","indiv_awards","playoffs_career","nba_titles","mvp_finals","finalist_career"
"Mason Jones",193.04,90.7184,36,18,6.05,2.1,1.15,6.45,0.019,0.1465,0.1985,0.5905,0.17,2,0,0,2,0,0,0
"Mason Plumlee",211.074,111.8557872,740,74,8.54,6.87,2.53,-1.42,0.0967,0.2147,0.1643,0.6093,0.1589,9,0,0,2,0,0,0
"Matisse Thybulle",195.58,91.171992,267,66.75,4.6,1.95,1,2.575,0.0285,0.067,0.09875,0.54825,0.06675,3,0,0,3,0,0,0
"Matt Mooney",187.96,90.264808,5,2.5,0.25,0.4,0.15,-41.25,0,0.079,0.24,0.125,0.0355,2,0,0,1,0,0,0
"Matt Ryan",199.39,97.52228,35,17.5,3.3,0.4,0.25,13.6,0.0065,0.0335,0.257,0.419,0.034,1,0,0,2,0,0,0
"Matt Thomas",192.193333333333,86.18248,126,42,4,1.26666666666667,0.466666666666667,-1.33333333333333,0.015,0.102666666666667,0.158666666666667,0.578666666666667,0.077,3,0,0,2,1,0,0
"Matthew Dellavedova",192.193333333333,90.4160053333333,479,53.2222222222222,4.68888888888889,1.6,3.47777777777778,-1.01111111111111,0.0194444444444444,0.0743333333333333,0.140111111111111,0.478333333333333,0.278555555555556,8,0,0,3,0,0,2
"Maurice Harkless",203.962,98.883056,621,62.1,6.53,3.4,0.92,-1.72,0.0464,0.114,0.1335,0.5409,0.058,10,0,0,5,0,0,0
"Max Strus",195.58,97.52228,189,47.25,7.675,1.95,1.025,25.85,0.05375,0.0705,0.171,0.62375,0.06875,3,0,0,3,0,0,1
"Maxi Kleber",209.126666666667,107.350106666667,363,60.5,6.88333333333333,4.63333333333333,1.15,1.35,0.0468333333333333,0.145166666666667,0.1225,0.5825,0.0685,5,0,0,3,0,0,0
"McKinley Wright IV",180.34,87.089664,32,16,2.6,0.85,1.35,-20.35,0.013,0.0545,0.121,0.6845,0.253,1,0,0,1,0,0,0
"Meyers Leonard",215.138,114.53198,456,45.6,5.12,3.64,0.77,-4.28,0.0522,0.2199,0.1492,0.6049,0.0801,9,0,0,7,0,0,1
