"player_name","player_height","player_weight","gp_career","gp_by_season","pts_career_avg","reb_career_avg","ast_career_avg","net_rating_career","oreb_pct_career","dreb_pct_career","usg_pct_career","ts_pct_career","ast_pct_career","num_seasons","hall_of_fame","indiv_awards","playoffs_career","nba_titles","mvp_finals","finalist_career"
"Tim Breaux",200.66,97.52228,6,6,1.7,0.3,0.3,1.2,0,0.069,0.209,0.421,0.154,3,0,0,0,0,0,0
"Tim Duncan",211.755789473684,116.286664842105,1392,73.2631578947368,18.8894736842105,10.7684210526316,3.01052631578947,9.74736842105263,0.0971052631578947,0.262631578947368,0.267315789473684,0.548421052631579,0.158894736842105,19,1,1,18,5,3,1
"Tim Hardaway",182.88,88.45044,417,59.5714285714286,14.2,2.72857142857143,6.34285714285714,7.15714285714286,0.0138571428571429,0.0887142857142857,0.239857142857143,0.508714285714286,0.351714285714286,13,1,0,6,0,0,0
"Tim James",200.66,96.161504,43,14.3333333333333,1.86666666666667,1,0.3,5.53333333333333,0.116,0.0753333333333333,0.223333333333333,0.376666666666667,0.0853333333333333,3,0,0,3,0,0,1
"Tim Kempton",208.28,111.13004,18,9,0.45,0.8,0.3,-9.45,0.0795,0.0665,0.1135,0.281,0.0775,8,0,0,1,0,0,0
"Tim Legler",193.04,92.98636,76,19,2.825,1.05,0.65,-7.475,0.0155,0.08525,0.1465,0.4005,0.0845,10,0,0,0,0,0,0
"Tim Ohlbrecht",210.82,115.66596,3,3,1,0.3,0.3,-33.4,0,0.1,0.287,0.436,0.25,1,0,0,0,0,0,0
"Tim Quarterman",198.12,86.18248,19,9.5,1.6,0.95,0.5,-18.45,0.0265,0.1535,0.2015,0.513,0.242,2,0,0,2,0,0,0
"Tim Thomas",208.28,107.466412307692,824,63.3846153846154,11.0769230769231,3.96923076923077,1.46153846153846,-1.14615384615385,0.0456153846153846,0.139,0.213846153846154,0.538923076923077,0.0961538461538461,13,0,0,6,0,0,0
"Tim Young",218.44,122.46984,25,25,2.2,1.4,0.2,-4.6,0.086,0.19,0.181,0.492,0.057,1,0,0,0,0,0,0
"Timofey Mozgov",215.9,117.650425,454,56.75,6.075,4.45,0.5125,-3.675,0.104625,0.183125,0.166375,0.571125,0.04725,8,0,0,5,0,0,1
"Tito Maddox",193.04,86.18248,9,9,1.2,0.8,0.6,-5.3,0.031,0.162,0.237,0.354,0.217,1,0,0,0,0,0,0
